<run_flexgen>: args.model: facebook/opt-1.3b
model size: 2.443 GB, cache size: 1.594 GB, hidden size (prefill): 0.033 GB
init weight...
InputEmbed layer:  1
OutputEmbed layers: 50
warmup - generate
max_new_tokens: 1
# Output token ids
# Intermediate tensors
Overlap I/O and compute
generation_loop_overlap_multi_batch()
# $Generate: i[%d], j[%d], k[%d]  1 50 4
i,j,k= 0 0 0
i,j,k= 0 0 1
i,j,k= 0 0 2
i,j,k= 0 0 3
i,j,k= 0 1 0
i,j,k= 0 1 1
i,j,k= 0 1 2
i,j,k= 0 1 3
i,j,k= 0 2 0
i,j,k= 0 2 1
i,j,k= 0 2 2
i,j,k= 0 2 3
i,j,k= 0 3 0
i,j,k= 0 3 1
i,j,k= 0 3 2
i,j,k= 0 3 3
i,j,k= 0 4 0
i,j,k= 0 4 1
i,j,k= 0 4 2
i,j,k= 0 4 3
i,j,k= 0 5 0
i,j,k= 0 5 1
i,j,k= 0 5 2
i,j,k= 0 5 3
i,j,k= 0 6 0
i,j,k= 0 6 1
i,j,k= 0 6 2
i,j,k= 0 6 3
i,j,k= 0 7 0
i,j,k= 0 7 1
i,j,k= 0 7 2
i,j,k= 0 7 3
i,j,k= 0 8 0
i,j,k= 0 8 1
i,j,k= 0 8 2
i,j,k= 0 8 3
i,j,k= 0 9 0
i,j,k= 0 9 1
i,j,k= 0 9 2
i,j,k= 0 9 3
i,j,k= 0 10 0
i,j,k= 0 10 1
i,j,k= 0 10 2
i,j,k= 0 10 3
i,j,k= 0 11 0
i,j,k= 0 11 1
i,j,k= 0 11 2
i,j,k= 0 11 3
i,j,k= 0 12 0
i,j,k= 0 12 1
i,j,k= 0 12 2
i,j,k= 0 12 3
i,j,k= 0 13 0
i,j,k= 0 13 1
i,j,k= 0 13 2
i,j,k= 0 13 3
i,j,k= 0 14 0
i,j,k= 0 14 1
i,j,k= 0 14 2
i,j,k= 0 14 3
i,j,k= 0 15 0
i,j,k= 0 15 1
i,j,k= 0 15 2
i,j,k= 0 15 3
i,j,k= 0 16 0
i,j,k= 0 16 1
i,j,k= 0 16 2
i,j,k= 0 16 3
i,j,k= 0 17 0
i,j,k= 0 17 1
i,j,k= 0 17 2
i,j,k= 0 17 3
i,j,k= 0 18 0
i,j,k= 0 18 1
i,j,k= 0 18 2
i,j,k= 0 18 3
i,j,k= 0 19 0
i,j,k= 0 19 1
i,j,k= 0 19 2
i,j,k= 0 19 3
i,j,k= 0 20 0
i,j,k= 0 20 1
i,j,k= 0 20 2
i,j,k= 0 20 3
i,j,k= 0 21 0
i,j,k= 0 21 1
i,j,k= 0 21 2
i,j,k= 0 21 3
i,j,k= 0 22 0
i,j,k= 0 22 1
i,j,k= 0 22 2
i,j,k= 0 22 3
i,j,k= 0 23 0
i,j,k= 0 23 1
i,j,k= 0 23 2
i,j,k= 0 23 3
i,j,k= 0 24 0
i,j,k= 0 24 1
i,j,k= 0 24 2
i,j,k= 0 24 3
i,j,k= 0 25 0
i,j,k= 0 25 1
i,j,k= 0 25 2
i,j,k= 0 25 3
i,j,k= 0 26 0
i,j,k= 0 26 1
i,j,k= 0 26 2
i,j,k= 0 26 3
i,j,k= 0 27 0
i,j,k= 0 27 1
i,j,k= 0 27 2
i,j,k= 0 27 3
i,j,k= 0 28 0
i,j,k= 0 28 1
i,j,k= 0 28 2
i,j,k= 0 28 3
i,j,k= 0 29 0
i,j,k= 0 29 1
i,j,k= 0 29 2
i,j,k= 0 29 3
i,j,k= 0 30 0
i,j,k= 0 30 1
i,j,k= 0 30 2
i,j,k= 0 30 3
i,j,k= 0 31 0
i,j,k= 0 31 1
i,j,k= 0 31 2
i,j,k= 0 31 3
i,j,k= 0 32 0
i,j,k= 0 32 1
i,j,k= 0 32 2
i,j,k= 0 32 3
i,j,k= 0 33 0
i,j,k= 0 33 1
i,j,k= 0 33 2
i,j,k= 0 33 3
i,j,k= 0 34 0
i,j,k= 0 34 1
i,j,k= 0 34 2
i,j,k= 0 34 3
i,j,k= 0 35 0
i,j,k= 0 35 1
i,j,k= 0 35 2
i,j,k= 0 35 3
i,j,k= 0 36 0
i,j,k= 0 36 1
i,j,k= 0 36 2
i,j,k= 0 36 3
i,j,k= 0 37 0
i,j,k= 0 37 1
i,j,k= 0 37 2
i,j,k= 0 37 3
i,j,k= 0 38 0
i,j,k= 0 38 1
i,j,k= 0 38 2
i,j,k= 0 38 3
i,j,k= 0 39 0
i,j,k= 0 39 1
i,j,k= 0 39 2
i,j,k= 0 39 3
i,j,k= 0 40 0
i,j,k= 0 40 1
i,j,k= 0 40 2
i,j,k= 0 40 3
i,j,k= 0 41 0
i,j,k= 0 41 1
i,j,k= 0 41 2
i,j,k= 0 41 3
i,j,k= 0 42 0
i,j,k= 0 42 1
i,j,k= 0 42 2
i,j,k= 0 42 3
i,j,k= 0 43 0
i,j,k= 0 43 1
i,j,k= 0 43 2
i,j,k= 0 43 3
i,j,k= 0 44 0
i,j,k= 0 44 1
i,j,k= 0 44 2
i,j,k= 0 44 3
i,j,k= 0 45 0
i,j,k= 0 45 1
i,j,k= 0 45 2
i,j,k= 0 45 3
i,j,k= 0 46 0
i,j,k= 0 46 1
i,j,k= 0 46 2
i,j,k= 0 46 3
i,j,k= 0 47 0
i,j,k= 0 47 1
i,j,k= 0 47 2
i,j,k= 0 47 3
i,j,k= 0 48 0
i,j,k= 0 48 1
i,j,k= 0 48 2
i,j,k= 0 48 3
i,j,k= 0 49 0
i,j,k= 0 49 1
i,j,k= 0 49 2
i,j,k= 0 49 3
benchmark - generate
max_new_tokens: 32 cut_gen_len None
# Output token ids
# Intermediate tensors
Overlap I/O and compute
generation_loop_overlap_multi_batch()
# $Generate: i[%d], j[%d], k[%d]  32 50 4
i,j,k= 0 0 0
i,j,k= 0 0 1
i,j,k= 0 0 2
i,j,k= 0 0 3
i,j,k= 0 1 0
i,j,k= 0 1 1
i,j,k= 0 1 2
i,j,k= 0 1 3
i,j,k= 0 2 0
i,j,k= 0 2 1
i,j,k= 0 2 2
i,j,k= 0 2 3
i,j,k= 0 3 0
i,j,k= 0 3 1
i,j,k= 0 3 2
i,j,k= 0 3 3
i,j,k= 0 4 0
i,j,k= 0 4 1
i,j,k= 0 4 2
i,j,k= 0 4 3
i,j,k= 0 5 0
i,j,k= 0 5 1
i,j,k= 0 5 2
i,j,k= 0 5 3
i,j,k= 0 6 0
